하나, 81, 198
차파, 51, 169
타카, 85, 159
라라, 50, 176
바카, 57, 164
타사, 48, 156
파라, 64, 168
하차, 51, 187
자사, 91, 181
자타, 78, 151
카아, 87, 151
타라, 81, 195
아하, 49, 187
라나, 65, 177
바차, 91, 170
파카, 98, 158
가파, 51, 180
타가, 53, 160
차라, 77, 153
타마, 43, 162
타사, 63, 162
카라, 93, 174
아아, 51, 161
나아, 61, 170
하파, 58, 198
파사, 52, 162
사타, 41, 195
차아, 92, 163
아바, 67, 153
타하, 66, 160
사라, 84, 194
하라, 92, 176
라바, 45, 185
자차, 94, 166
라자, 85, 151
아차, 56, 181
바아, 40, 194
카아, 99, 187
바바, 44, 196
차파, 43, 153
나아, 90, 177
차하, 49, 154
차사, 43, 189
나라, 99, 173
카하, 41, 192
마자, 75, 184
하나, 56, 193
파가, 66, 158
자카, 85, 184
자다, 91, 197
바가, 75, 179
자하, 55, 177
아나, 71, 195
다파, 85, 152
파라, 78, 175
타다, 58, 196
나자, 73, 186
다마, 64, 198
라사, 76, 150
파하, 68, 192
가자, 96, 195
가사, 83, 184
사라, 98, 179
바타, 75, 194
마바, 64, 183
타바, 86, 185
사나, 81, 173
바차, 40, 186
파바, 59, 179
가차, 62, 184
파차, 86, 188
타타, 57, 155
타나, 46, 197
하다, 88, 192
가바, 59, 185
파자, 98, 190
사다, 60, 155
사파, 85, 190
카나, 99, 195
가아, 52, 179
자타, 81, 196
하가, 77, 180
타자, 82, 192
타파, 87, 170
사파, 50, 181
사하, 90, 175
나자, 46, 193
아카, 50, 189
타파, 97, 196
나바, 71, 171
차차, 88, 199
라차, 62, 174
사차, 76, 154
하아, 82, 182
카아, 84, 179
마자, 47, 165
바사, 52, 180
카차, 68, 180
차바, 76, 159
가사, 42, 152
타라, 71, 194
아마, 40, 175
나마, 61, 177
타자, 54, 180
차나, 68, 198
아타, 62, 169
사나, 72, 166
차하, 60, 164
사마, 62, 170
가가, 87, 172
바라, 48, 159
사나, 51, 178
파자, 94, 175
바가, 82, 167
타카, 87, 181
사파, 82, 191
나아, 92, 154
나라, 72, 152
아바, 94, 176
자타, 81, 193
하가, 68, 162
파마, 58, 160
마하, 70, 175
라자, 99, 164
라다, 82, 161
사파, 45, 167
하바, 43, 161
가타, 87, 181
하파, 57, 157
마차, 87, 187
타카, 63, 167
하나, 44, 196
자차, 71, 160
가바, 59, 168
사카, 99, 198
파타, 72, 163
마마, 48, 198
다카, 73, 180
아하, 40, 150
바다, 40, 192
아가, 85, 185
사차, 47, 150
카차, 43, 179
나사, 97, 189
나마, 91, 187
하아, 73, 166
마파, 62, 199
사나, 91, 153
아하, 54, 197
하파, 48, 153
나하, 97, 176
타하, 62, 197
차사, 82, 167
가하, 99, 170
마하, 80, 183
타라, 50, 196
자파, 84, 161
타다, 67, 161
파카, 57, 156
나가, 89, 187
차라, 60, 150
바카, 80, 153
파나, 54, 184
나마, 50, 165
타마, 87, 178
하다, 99, 160
바나, 86, 172
라사, 49, 194
바아, 60, 177
차라, 49, 164
사나, 51, 165
차아, 59, 198
다사, 91, 161
하카, 96, 167
사사, 85, 186
나타, 68, 197
바아, 64, 198
사카, 99, 177
가차, 88, 196
하카, 53, 197
파파, 70, 154
사바, 43, 154
바마, 44, 196
마자, 70, 189
마카, 91, 192
마아, 72, 197
하바, 72, 191
다자, 45, 193
나타, 83, 181
차나, 59, 169
차바, 76, 177
하아, 81, 181
차차, 41, 154
바라, 76, 191
다라, 66, 199
카카, 97, 166
자나, 87, 163
타자, 91, 159
파아, 42, 175
차차, 46, 182
가바, 93, 166
사마, 96, 181
자하, 61, 170
바사, 80, 161
카가, 49, 167
파차, 89, 196
파카, 79, 198
하자, 46, 166
카라, 82, 171
자바, 55, 154
타마, 57, 157
나타, 56, 160
라자, 65, 150
하다, 77, 197
사가, 49, 197
타파, 76, 167
자카, 84, 189
다카, 67, 185
다자, 57, 168
카다, 48, 177
사파, 86, 152
라바, 96, 170
자하, 58, 162
하하, 61, 167
차자, 71, 178
나사, 73, 187
라카, 74, 160
가마, 87, 162
마바, 60, 182
차가, 70, 190
바차, 93, 187
아하, 90, 194
사차, 63, 184
사마, 43, 157
다사, 43, 151
파나, 48, 170
하가, 54, 153
카파, 78, 194
파라, 44, 188
다카, 43, 150
타자, 45, 185
아카, 49, 155
바사, 94, 183
타하, 83, 180
사타, 77, 178
아차, 95, 154
차타, 55, 154
아자, 79, 199
타라, 97, 191
바바, 69, 166
마카, 70, 157
파타, 85, 194
다라, 97, 163
파자, 72, 161
마가, 87, 189
라나, 46, 192
바타, 59, 186
자다, 56, 196
나마, 89, 150
자하, 85, 176
파하, 43, 190
다사, 74, 158
마아, 99, 181
자자, 66, 169
마자, 93, 196
자자, 82, 186
파바, 40, 171
자아, 86, 181
자가, 52, 192
하자, 98, 195
하파, 42, 181
자마, 53, 173
다자, 89, 187
바라, 93, 167
다라, 85, 167
차가, 68, 163
파마, 52, 180
차자, 56, 158
아차, 98, 153
하차, 57, 179
카카, 55, 166
타라, 84, 168
아다, 88, 155
차다, 54, 188
사카, 64, 154
다카, 46, 151
바카, 56, 185
나카, 41, 175
바나, 54, 189
가마, 59, 156
아파, 77, 163
가카, 53, 156
차바, 57, 158
나사, 44, 155
마나, 90, 155
마카, 87, 192
자라, 73, 163
자타, 61, 188
아차, 59, 198
라다, 82, 186
가사, 94, 197
마차, 80, 193
타다, 46, 192
라카, 96, 186
카사, 86, 153
가카, 76, 170
바자, 91, 171
자파, 78, 150
다차, 91, 166
다라, 89, 165
아카, 89, 168
카자, 77, 167
마타, 43, 163
아나, 54, 168
바카, 92, 170
자나, 96, 161
마자, 82, 178
카타, 77, 155
바파, 51, 197
파파, 65, 198
아타, 83, 193
파가, 58, 166
마다, 75, 165
파카, 72, 193
자마, 55, 159
차타, 73, 180
가다, 57, 152
사나, 68, 178
파하, 67, 188
차다, 72, 186
다바, 73, 169
파하, 42, 150
파사, 48, 154
라자, 65, 194
바라, 42, 187
차타, 69, 171
바나, 84, 167
마아, 52, 161
파다, 86, 167
나하, 93, 164
하차, 56, 180
아나, 65, 185
라바, 77, 153
바타, 78, 170
카나, 44, 176
하다, 82, 197
바차, 50, 174
나자, 79, 175
사아, 72, 164
나가, 59, 189
사바, 70, 156
가가, 58, 165
마자, 73, 178
자바, 67, 167
마가, 90, 161
라차, 57, 189
파하, 77, 198
다사, 61, 169
나카, 95, 167
사사, 51, 183
카카, 53, 160
바자, 40, 181
마파, 93, 197
가다, 65, 179
아하, 63, 186
타타, 86, 182
자카, 89, 189
파가, 48, 169
파마, 44, 152
다아, 75, 150
다가, 43, 192
파사, 62, 185
카카, 60, 192
마마, 55, 172
마차, 67, 170
바가, 73, 164
라자, 97, 165
자사, 85, 198
마바, 95, 191
타하, 70, 176
가다, 62, 193
자카, 73, 159
나자, 47, 177
바차, 92, 182
파바, 89, 188
마나, 96, 165
가나, 45, 171
바타, 76, 152
파마, 60, 155
타다, 87, 172
파라, 73, 184
아사, 92, 167
